dataset_id,name,institution,role
Jordan_2015,Aina Price,University of Tasmania,collector
Jordan_2020,Gregory Jordan,University of Tasmania,"collector, contact"
Jordan_2020,Raymond Carpenter,University of Adelaide,collector
Jurado_1991,Enrique Jurado,Autonomous University of Nuevo Leon,"collector, contact"
Jurado_1991,Mark Westoby,Macquarie University Sydney,lab_leader
Jurado_1991,Ian Wright,Macquarie University Sydney,contributor
Jurado_1992,Enrique Jurado,Autonomous University of Nuevo Leon,"collector, contact, contributor"
Jurado_1992,Des Nelson,CSIRO Alice Springs,collector
Kanowski_2000,John Kanowski,Australian Wildlife Conservancy,"collector, contact"
Keighery_2004,Greg Keighery,WA Department of Parks and Wildlife,collector
Keighery_2004,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Kew_2019_1,Udayangani Liu,Kew Botanic Gardens,contact
Kew_2019_2,Udayangani Liu,Kew Botanic Gardens,contact
Kew_2019_3,Udayangani Liu,Kew Botanic Gardens,contact
Kew_2019_4,Udayangani Liu,Kew Botanic Gardens,contact
Kew_2019_5,Udayangani Liu,Kew Botanic Gardens,contact
Kew_2019_6,Udayangani Liu,Kew Botanic Gardens,contact
Kirkpatrick_2020,James Kirkpatrick,University of Tasmania,"collector, contact"
Knox_2011,Kirsten Knox,Unknown,"collector, contact"
Knox_2011,Peter Clarke,University of New England,lab_leader
Knox_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Kooyman_2011,Robert Kooyman,Royal Botanic Gardens Sydney; Macquarie University,"collector, contact"
Kooyman_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Kotowska_2020,Martyna Kotowska,"Department of Plant Ecology and Ecosystems Research, University of Goettingen","collector, contact"
Kotowska_2020,Ian Wright,Macquarie University Sydney,lab_leader
Kotowska_2020,Mark Westoby,Macquarie University Sydney,lab_leader
Kuo_1982,John Kuo,University of Western Australia,collector
Laliberte_2012,Etienne Laliberte,Universite de Montreal,"collector, contact, lab_leader"
Laliberte_2012,Hans Lambers,University of Western Australia,contributor
Laliberte_2012,Rachael Gallagher,Macquarie University Sydney,contributor
Lamont_2002,Byron Lamont,Curtin University,"collector, contact, lab_leader"
Lamont_2002,Ian Wright,Macquarie University Sydney,contributor
Lamont_2002,Philip K Groom,Curtin University,"contributor, collector"
Lawes_2012,Michael Lawes,Charles Darwin University,"collector, contact, lab_leader"
Lawes_2012,Rachael Gallagher,Macquarie University Sydney,contributor
Lawson_2015,James Lawson,Macquarie University Sydney,"collector, contact"
Lawson_2015,Michelle Leishman,Macquarie University Sydney,lab_leader
Laxton_2005,Emma Laxton,unknown,collector
Laxton_2005,Lesley Hughes,Macquarie University Sydney,lab_leader
Laxton_2005,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Lee_2019,Brad Oberle,"Division of Natural Sciences, New College of Florida",collector
Lee_2019,Amy Zanne,George Washington University,collector
Lee_2019,Jeff R. Powell,"Hawkesbury Institute for the Environment, Western Sydney University","contact, contributor, assistant"
Lee_2019,Jessica L. Rigg,"NSW Department of Primary Industries, Elizabeth Macarthur Agricultural Institute",assistant
Leigh_2003,Andrea Leigh,University of Technology Sydney,"collector, contact"
Leigh_2003,Adrienne Nicotra,Australian National University,collector
Leigh_2006,Andrea Leigh,University of Technology Sydney,"collector, contact"
Leigh_2006,Adrienne Nicotra,Australian National University,lab_leader
Leigh_2006,Meredith Cosgrove,Australian National University,collector
Leishman_1992,Michelle Leishman,Macquarie University Sydney,"collector, contact"
Leishman_1992,Mark Westoby,Macquarie University Sydney,lab_leader
Leishman_1993,Michelle Leishman,Macquarie University Sydney,contact
Leishman_1993,Mark Westoby,Macquarie University Sydney,lab_leader
Leishman_1993,Barbara Rice,Macquarie University Sydney,collector
Leishman_1993,Jocelyn Howell,Macquarie University Sydney,collector
Leishman_1995,Michelle Leishman,Macquarie University Sydney,"collector, contact"
Leishman_1995,Mark Westoby,Macquarie University Sydney,lab_leader
Leishman_1995,Barbara Rice,Macquarie University Sydney,collector
Leishman_1995,Jocelyn Howell,Macquarie University Sydney,collector
Leishman_2007,Michelle Leishman,Macquarie University,"lab_leader, collector, contributor"
Leishman_2007,Tammy Haslehurst,"Department of Physical Geography, Macquarie University",assistant
Lemmens_1994,Amy Zanne,George Washington University,"contributor, contact"
Lewis_2015,James Lewis,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Lewis_2015,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University","lab_leader, contact, collector"
Lewis_2015,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Lewis_2015,Allison Frith,Sydney University,collector
Lim_2017,Felix Lim,University of Melbourne,"contact, collector"
Lim_2017,Peter Vesk,University of Melbourne,lab_leader
Lim_2017,Laura Pollock,University of Melbourne,collector
Lord_1997,Janice Lord,University of Otago,"collector, contact"
Lord_1997,Mark Westoby,Macquarie University Sydney,lab_leader
Lord_1997,Ian Wright,Macquarie University Sydney,contributor
Lord_1997,Judy Egan,Conservation Commission of the Northern Territory,assistant
Lunt_2012,Ian Lunt,Charles Sturt University,"collector, contact, lab_leader"
Lunt_2012,John Morgan,La Trobe University,collector
Lunt_2012,Rachael Gallagher,Macquarie University Sydney,contributor
Lusk_2010,Christopher Lusk,University of Waikato,"collector, contact, lab_leader"
Lusk_2012,Christopher Lusk,University of Waikato,"collector, contact"
Lusk_2014,Christopher Lusk,University of Waikato,"collector, contact, lab_leader"
MacinnisNg_2004,Catriona Macinnis-Ng,University of Auckland,"collector, contact"
MacinnisNg_2004,Kate McClenahan,University of Technology Sydney,collector
MacinnisNg_2004,Derek Eamus,University of Technology Sydney,lab_leader
MacinnisNg_2016,Catriona Macinnis-Ng,University of Auckland,"collector, contact"
MacinnisNg_2016,Derek Eamus,University of Technology Sydney,lab_leader
Manea_2011,Anthony Manea,Macquarie University Sydney,collector
Manea_2011,Michelle Leishman,Macquarie University Sydney,"lab_leader, contact"
Manea_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Maslin_2012,Bruce Maslin,Macquarie University Sydney,"collector, contact"
Maslin_2012,Brendan Lepschi,CSIRO,custodian
Maslin_2012,Rachael Gallagher,Macquarie University Sydney,contributor
McCarthy_2017,James McCarthy,University of Queensland,"collector, contact"
McCarthy_2017,John M. Dwyer,University of Queensland,lab_leader
McCarthy_2017,Karel Mokany,"CSIRO Land and Water Canberra, Australia",lab_leader
McCarthy_2017,Mike Olsen,unaffiliated,assistant
McCarthy_2017,Timothy Staples,University of Queensland,assistant
